event_timestamp,latitude,longitude,Language_JFProd,media_component_title,platform
2025-12-11 08:41:00.000000 UTC,31.188888888888886,121.42857142857144,Cantonese,Mary Magdalene goes to Rivka's house,app
2025-12-11 08:54:00.000000 UTC,31.188888888888886,121.42857142857144,Cantonese,"Rivka's Home, Disciples Chosen and Women Followers",app
2025-12-12 00:17:00.000000 UTC,28.631540697674414,-82.49186046511619,Crimean Tatar,Birth of Jesus,app
2025-12-11 23:47:00.000000 UTC,28.631540697674414,-82.49186046511619,Crimean Tatar,JESUS,app
2025-12-11 18:50:00.000000 UTC,37.253093525179885,-119.61700239808171,Dari,JESUS,app
2025-12-11 10:32:00.000000 UTC,37.253093525179885,-119.61700239808171,Dari,JESUS,app
2025-12-12 00:45:00.000000 UTC,47.473134328358157,-100.47747625508821,Dari,JESUS,app
2025-12-12 03:17:00.000000 UTC,31.488430891817409,-99.376677903769277,Dari,Birth of Jesus,app
2025-12-11 18:10:00.000000 UTC,43.929019746121256,-120.54703808180517,English,JESUS,app
2025-12-11 07:27:00.000000 UTC,43.929019746121256,-120.54703808180517,English,Breathe,app
2025-12-11 21:37:00.000000 UTC,37.253093525179885,-119.61700239808171,English,Life of Jesus (Gospel of John),app
2025-12-11 07:00:00.000000 UTC,37.253093525179885,-119.61700239808171,English,Science: I Guess I'm An Atheist,app
2025-12-11 19:37:00.000000 UTC,37.253093525179885,-119.61700239808171,English,Doubt: My Deconversion,app
2025-12-11 22:08:00.000000 UTC,37.253093525179885,-119.61700239808171,English,Life of Jesus (Gospel of John),app
2025-12-11 20:27:00.000000 UTC,37.253093525179885,-119.61700239808171,English,JESUS,app
2025-12-11 23:44:00.000000 UTC,55.215271988885462,-114.5450999251894,English,JESUS,app
2025-12-11 09:44:00.000000 UTC,34.305408198415471,-111.68084739924211,English,JESUS,app
2025-12-12 00:15:00.000000 UTC,31.488430891817409,-99.376677903769277,English,Stunned,app
2025-12-12 00:16:00.000000 UTC,31.488430891817409,-99.376677903769277,English,A Supreme Christmas,app
2025-12-11 05:05:00.000000 UTC,31.488430891817409,-99.376677903769277,English,JESUS,app
2025-12-11 19:20:00.000000 UTC,31.488430891817409,-99.376677903769277,English,Jesus Carries His Cross,app
2025-12-11 05:05:00.000000 UTC,31.488430891817409,-99.376677903769277,English,JESUS,app
2025-12-11 16:34:00.000000 UTC,31.488430891817409,-99.376677903769277,English,The Savior,app
2025-12-11 16:38:00.000000 UTC,31.488430891817409,-99.376677903769277,English,Jesus Proclaims Fulfillment of the Scriptures,app
2025-12-11 05:05:00.000000 UTC,31.488430891817409,-99.376677903769277,English,JESUS,app
2025-12-12 00:17:00.000000 UTC,31.488430891817409,-99.376677903769277,English,Noelevator,app
2025-12-12 03:23:00.000000 UTC,31.488430891817409,-99.376677903769277,English,LUMO - Luke 1:57-2:40,app
2025-12-12 01:13:00.000000 UTC,38.507537012113062,-98.4109466128308,English,JESUS,app
2025-12-12 01:12:00.000000 UTC,38.507537012113062,-98.4109466128308,English,JESUS,app
2025-12-11 21:33:00.000000 UTC,35.572450110864764,-97.4817073170733,English,JESUS,app
2025-12-11 18:36:00.000000 UTC,46.396428571428615,-94.1927431610943,English,LUMO - Matthew 1:1-2:23,app
2025-12-11 18:50:00.000000 UTC,46.396428571428615,-94.1927431610943,English,LUMO - Matthew 1:1-2:23,app
2025-12-11 23:20:00.000000 UTC,38.331455897980874,-92.475823591923287,English,Life of Jesus (Gospel of John),app
2025-12-11 14:58:00.000000 UTC,38.331455897980874,-92.475823591923287,English,Life of Jesus (Gospel of John),app
2025-12-11 19:40:00.000000 UTC,38.331455897980874,-92.475823591923287,English,Life of Jesus (Gospel of John),app
2025-12-11 18:17:00.000000 UTC,38.331455897980874,-92.475823591923287,English,Life of Jesus (Gospel of John),app
2025-12-11 18:14:00.000000 UTC,38.331455897980874,-92.475823591923287,English,Life of Jesus (Gospel of John),app
2025-12-11 19:09:00.000000 UTC,38.331455897980874,-92.475823591923287,English,Life of Jesus (Gospel of John),app
2025-12-11 19:09:00.000000 UTC,38.331455897980874,-92.475823591923287,English,Life of Jesus (Gospel of John),app
2025-12-11 18:17:00.000000 UTC,38.331455897980874,-92.475823591923287,English,Life of Jesus (Gospel of John),app
2025-12-11 18:21:00.000000 UTC,38.331455897980874,-92.475823591923287,English,Life of Jesus (Gospel of John),app
2025-12-11 18:26:00.000000 UTC,38.331455897980874,-92.475823591923287,English,Life of Jesus (Gospel of John),app
2025-12-12 04:58:00.000000 UTC,34.8887631975868,-92.439366515836838,English,JESUS,app
2025-12-12 04:16:00.000000 UTC,34.8887631975868,-92.439366515836838,English,JESUS,app
2025-12-12 00:59:00.000000 UTC,32.727782497875886,-89.672302463891185,English,The Arrow,app
2025-12-11 10:22:00.000000 UTC,40.125855513308046,-89.163498098859137,English,Chara / Joy,app
2025-12-11 10:10:00.000000 UTC,40.125855513308046,-89.163498098859137,English,What is Christianity?,app
2025-12-11 17:54:00.000000 UTC,40.125855513308046,-89.163498098859137,English,JESUS,app
2025-12-11 10:13:00.000000 UTC,40.125855513308046,-89.163498098859137,English,What is Christianity?,app
2025-12-11 10:12:00.000000 UTC,40.125855513308046,-89.163498098859137,English,What is Christianity?,app
2025-12-11 10:13:00.000000 UTC,40.125855513308046,-89.163498098859137,English,Yakhal / Hope,app
2025-12-11 17:45:00.000000 UTC,40.125855513308046,-89.163498098859137,English,Origins of Christmas - (Episode 1),app
2025-12-11 10:18:00.000000 UTC,40.125855513308046,-89.163498098859137,English,Shalom / Peace,app
2025-12-11 10:26:00.000000 UTC,40.125855513308046,-89.163498098859137,English,Agape / Love,app
2025-12-11 10:31:00.000000 UTC,40.125855513308046,-89.163498098859137,English,JESUS,app
2025-12-12 01:26:00.000000 UTC,35.829810298102963,-86.397109304426522,English,Augustine,app
2025-12-12 03:46:00.000000 UTC,35.829810298102963,-86.397109304426522,English,Jesus Calms the Storm,app
2025-12-12 01:26:00.000000 UTC,35.829810298102963,-86.397109304426522,English,Augustine,app
2025-12-12 03:12:00.000000 UTC,35.829810298102963,-86.397109304426522,English,The Story of Jesus for Children,app
2025-12-12 01:26:00.000000 UTC,35.829810298102963,-86.397109304426522,English,Augustine,app
2025-12-12 01:25:00.000000 UTC,35.829810298102963,-86.397109304426522,English,Augustine,app
2025-12-11 22:23:00.000000 UTC,39.911878172588821,-86.304771573604171,English,The Unexpected Christmas - (Episode 2),app
2025-12-11 15:03:00.000000 UTC,12.217948717948721,-86.2923076923077,English,Delight,app
2025-12-11 15:02:00.000000 UTC,12.217948717948721,-86.2923076923077,English,Delight,app
2025-12-11 23:07:00.000000 UTC,50.0832879133828,-85.8184355896004,English,Song of the Reeds,app
2025-12-11 12:09:00.000000 UTC,44.877535977535921,-85.736819936819984,English,What is Christianity?,app
2025-12-12 00:24:00.000000 UTC,44.877535977535921,-85.736819936819984,English,JESUS,app
2025-12-11 12:12:00.000000 UTC,44.877535977535921,-85.736819936819984,English,Chosen Witness,app
2025-12-12 02:58:00.000000 UTC,37.532327992459948,-85.276437323280049,English,JESUS,app
2025-12-12 03:01:00.000000 UTC,37.532327992459948,-85.276437323280049,English,My Last Day,app
2025-12-12 00:50:00.000000 UTC,32.634914089347,-83.445292096219873,English,The Story of Jesus for Children,app
2025-12-11 09:17:00.000000 UTC,32.634914089347,-83.445292096219873,English,Cleaning the Lamps,app
2025-12-11 18:57:00.000000 UTC,32.634914089347,-83.445292096219873,English,The Story of Jesus for Children,app
2025-12-11 09:12:00.000000 UTC,32.634914089347,-83.445292096219873,English,Friends and Enemies,app
2025-12-11 20:15:00.000000 UTC,40.473224043715796,-82.66159250585487,English,JESUS,app
2025-12-11 20:21:00.000000 UTC,40.473224043715796,-82.66159250585487,English,JESUS,app
2025-12-11 21:36:00.000000 UTC,40.473224043715796,-82.66159250585487,English,JESUS,app
2025-12-11 12:48:00.000000 UTC,28.631540697674414,-82.49186046511619,English,God's Word Becomes Flesh,app
2025-12-11 16:02:00.000000 UTC,28.631540697674414,-82.49186046511619,English,Delight,app
2025-12-11 12:54:00.000000 UTC,28.631540697674414,-82.49186046511619,English,Origins of Christmas - (Episode 1),app
2025-12-11 14:12:00.000000 UTC,28.631540697674414,-82.49186046511619,English,Life of Jesus (Gospel of John),app
2025-12-11 19:45:00.000000 UTC,28.631540697674414,-82.49186046511619,English,The Arrow,app
2025-12-11 23:42:00.000000 UTC,28.631540697674414,-82.49186046511619,English,Jesus Gathers Disciples,app
2025-12-11 18:53:00.000000 UTC,28.631540697674414,-82.49186046511619,English,"Darkroom Faith Trailer, 2-min wide",app
2025-12-11 14:03:00.000000 UTC,28.631540697674414,-82.49186046511619,English,God's Word Becomes Flesh,app
2025-12-11 11:35:00.000000 UTC,28.631540697674414,-82.49186046511619,English,Magdalena,app
2025-12-11 21:39:00.000000 UTC,28.631540697674414,-82.49186046511619,English,There is Hope (Sports),app
2025-12-12 01:44:00.000000 UTC,33.91961538461544,-80.89051282051291,English,The Covenant,app
2025-12-11 19:24:00.000000 UTC,33.91961538461544,-80.89051282051291,English,The Story of Jesus for Children,app
2025-12-11 19:24:00.000000 UTC,33.91961538461544,-80.89051282051291,English,Dying Roads,app
2025-12-11 17:03:00.000000 UTC,35.544881889763751,-79.412283464566983,English,JESUS,app
2025-12-11 17:53:00.000000 UTC,35.544881889763751,-79.412283464566983,English,JESUS,app
2025-12-11 08:13:00.000000 UTC,37.509125117591715,-78.876199435559727,English,The Covenant,app
2025-12-11 08:03:00.000000 UTC,37.509125117591715,-78.876199435559727,English,Introduction of Luke,app
2025-12-11 08:15:00.000000 UTC,37.509125117591715,-78.876199435559727,English,Birth of Jesus,app
2025-12-11 08:10:00.000000 UTC,37.509125117591715,-78.876199435559727,English,Jesus Taken Up Into Heaven,app
2025-12-12 03:58:00.000000 UTC,40.8776699029126,-77.807766990291356,English,The Covenant,app
2025-12-12 04:26:00.000000 UTC,40.8776699029126,-77.807766990291356,English,The Covenant,app
2025-12-12 04:25:00.000000 UTC,40.8776699029126,-77.807766990291356,English,The Covenant,app
2025-12-11 22:18:00.000000 UTC,42.99414504324686,-75.675515635395968,English,JESUS,app
2025-12-12 01:54:00.000000 UTC,42.99414504324686,-75.675515635395968,English,The Story of Jesus for Children,app
2025-12-11 23:20:00.000000 UTC,42.99414504324686,-75.675515635395968,English,Who Is God?,app
2025-12-11 22:43:00.000000 UTC,42.99414504324686,-75.675515635395968,English,JESUS,app
2025-12-11 08:34:00.000000 UTC,42.99414504324686,-75.675515635395968,English,Chosen Witness,app
2025-12-11 22:25:00.000000 UTC,42.99414504324686,-75.675515635395968,English,JESUS,app
2025-12-11 23:10:00.000000 UTC,42.99414504324686,-75.675515635395968,English,JESUS,app
2025-12-11 17:51:00.000000 UTC,40.200480769230744,-74.674038461538473,English,The Beginning,app
2025-12-11 21:57:00.000000 UTC,41.633103448275861,-72.717931034482746,English,The Beginning,app
2025-12-11 22:20:00.000000 UTC,41.633103448275861,-72.717931034482746,English,Dying Roads,app
2025-12-11 21:57:00.000000 UTC,41.633103448275861,-72.717931034482746,English,The Beginning,app
2025-12-11 21:51:00.000000 UTC,41.633103448275861,-72.717931034482746,English,The Beginning,app
2025-12-11 21:53:00.000000 UTC,41.633103448275861,-72.717931034482746,English,The Beginning,app
2025-12-11 07:25:00.000000 UTC,52.33525179856116,-3.7561151079136663,English,Life of Jesus (Gospel of John),app
2025-12-11 14:31:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,JESUS,app
2025-12-11 15:37:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,Legion,app
2025-12-11 15:28:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,Legion,app
2025-12-11 19:33:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,LUMO - Matthew 1:1-2:23,app
2025-12-11 11:31:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,A Dream,app
2025-12-11 14:32:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,JESUS,app
2025-12-11 19:31:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,Chosen Witness,app
2025-12-11 18:59:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,Jesus Calms the Storm,app
2025-12-11 11:13:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,Assurance Of Salvation,app
2025-12-11 07:23:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,JESUS,app
2025-12-11 14:34:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,JESUS,app
2025-12-11 11:21:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,Walking Stick,app
2025-12-11 15:41:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,Jesus Calms the Storm,app
2025-12-11 12:30:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,God's Word Becomes Flesh,app
2025-12-11 15:42:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,Jesus Calms the Storm,app
2025-12-11 18:29:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,Jesus Calms the Storm,app
2025-12-11 10:20:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,JESUS,app
2025-12-11 14:33:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,JESUS,app
2025-12-12 04:58:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,Birth of Jesus,app
2025-12-12 04:59:00.000000 UTC,6.5107142857142852,3.5178571428571428,English,Birth of Jesus,app
2025-12-11 11:28:00.000000 UTC,4.8621212121212105,6.9060606060606071,English,Assurance Of Salvation,app
2025-12-11 09:26:00.000000 UTC,8.8688524590163951,7.1459016393442623,English,JESUS,app
2025-12-11 09:48:00.000000 UTC,8.8688524590163951,7.1459016393442623,English,JESUS,app
2025-12-11 17:30:00.000000 UTC,8.8688524590163951,7.1459016393442623,English,JESUS,app
2025-12-11 17:28:00.000000 UTC,8.8688524590163951,7.1459016393442623,English,Origins of Christmas - (Episode 1),app
2025-12-11 12:28:00.000000 UTC,-33.012822580645228,20.608467741935439,English,JESUS,app
2025-12-11 14:39:00.000000 UTC,-33.012822580645228,20.608467741935439,English,Origins of Christmas - (Episode 1),app
2025-12-11 12:54:00.000000 UTC,-33.012822580645228,20.608467741935439,English,JESUS,app
2025-12-11 12:29:00.000000 UTC,-33.012822580645228,20.608467741935439,English,JESUS,app
2025-12-11 11:08:00.000000 UTC,-26.266210526315746,25.541473684210548,English,The Story of Jesus for Children,app
2025-12-11 12:44:00.000000 UTC,-26.111875,28.13187499999999,English,Breathe,app
2025-12-11 09:29:00.000000 UTC,-26.111875,28.13187499999999,English,Walking In The Spirit,app
2025-12-11 09:25:00.000000 UTC,-26.111875,28.13187499999999,English,Assurance Of Salvation,app
2025-12-11 09:32:00.000000 UTC,-26.111875,28.13187499999999,English,Fellowship Of Believers,app
2025-12-11 09:26:00.000000 UTC,-26.111875,28.13187499999999,English,Assurance Of Salvation,app
2025-12-11 11:25:00.000000 UTC,-26.111875,28.13187499999999,English,Growing In Christ,app
2025-12-11 18:33:00.000000 UTC,11.564102564102571,38.043589743589713,English,"3. Jesus, Our Power for Living",app
2025-12-11 18:37:00.000000 UTC,11.564102564102571,38.043589743589713,English,JESUS,app
2025-12-11 18:36:00.000000 UTC,11.564102564102571,38.043589743589713,English,My Last Day,app
2025-12-11 18:28:00.000000 UTC,11.564102564102571,38.043589743589713,English,Perfect?,app
2025-12-11 18:21:00.000000 UTC,11.564102564102571,38.043589743589713,English,The Four Principles,app
2025-12-11 14:36:00.000000 UTC,7.51196677991694,38.772706681766671,English,The Beginning,app
2025-12-11 15:37:00.000000 UTC,41.7,44.8,English,The Story of Jesus for Children,app
2025-12-11 10:46:00.000000 UTC,26.58208521626856,73.846578437702064,English,Who Is God?,app
2025-12-11 10:49:00.000000 UTC,26.58208521626856,73.846578437702064,English,The Unexpected Christmas - (Episode 2),app
2025-12-11 10:48:00.000000 UTC,26.58208521626856,73.846578437702064,English,JESUS,app
2025-12-11 10:50:00.000000 UTC,26.58208521626856,73.846578437702064,English,Pharisees Interrogate the Blind Man,app
2025-12-11 10:49:00.000000 UTC,26.58208521626856,73.846578437702064,English,LUMO - Matthew 1:1-2:23,app
2025-12-11 10:50:00.000000 UTC,26.58208521626856,73.846578437702064,English,Living Word Beatitudes,app
2025-12-11 06:32:00.000000 UTC,19.444646924829183,76.111731207289253,English,Jesus Proclaims Fulfillment of the Scriptures,app
2025-12-11 20:12:00.000000 UTC,14.706720597386427,76.163285625388937,English,JESUS,app
2025-12-11 13:35:00.000000 UTC,14.706720597386427,76.163285625388937,English,JESUS,app
2025-12-11 08:45:00.000000 UTC,14.706720597386427,76.163285625388937,English,Jesus Raises the Widow's Son,app
2025-12-11 20:11:00.000000 UTC,14.706720597386427,76.163285625388937,English,JESUS,app
2025-12-11 20:15:00.000000 UTC,14.706720597386427,76.163285625388937,English,Life of Jesus (Gospel of John),app
2025-12-11 16:24:00.000000 UTC,23.536797957695089,78.286287381473329,English,7. Jesus Our Living Water,app
2025-12-11 13:02:00.000000 UTC,23.536797957695089,78.286287381473329,English,Can Jesus Affect My Life?,app
2025-12-11 12:20:00.000000 UTC,23.536797957695089,78.286287381473329,English,JESUS,app
2025-12-11 08:21:00.000000 UTC,11.006319702602246,78.402602230483183,English,Chosen Witness,app
2025-12-11 15:51:00.000000 UTC,11.006319702602246,78.402602230483183,English,Chosen Witness,app
2025-12-11 08:21:00.000000 UTC,11.006319702602246,78.402602230483183,English,Chosen Witness,app
2025-12-11 16:00:00.000000 UTC,15.716184112843337,79.923608017817358,English,Marea,app
2025-12-11 12:30:00.000000 UTC,20.508753709198803,84.417729970326619,English,Chosen Witness,app
2025-12-11 11:26:00.000000 UTC,25.675531914893618,85.602718676123,English,Walking In The Spirit,app
2025-12-11 15:28:00.000000 UTC,25.675531914893618,85.602718676123,English,Jesus Calms the Storm,app
2025-12-12 04:23:00.000000 UTC,23.826958831341329,87.9768924302789,English,Doubt: My Deconversion,app
2025-12-12 04:02:00.000000 UTC,23.826958831341329,87.9768924302789,English,Chosen Witness,app
2025-12-12 04:16:00.000000 UTC,23.826958831341329,87.9768924302789,English,Chosen Witness,app
2025-12-11 07:33:00.000000 UTC,23.826958831341329,87.9768924302789,English,#FallingPlates,app
2025-12-12 04:39:00.000000 UTC,23.826958831341329,87.9768924302789,English,Chosen Witness,app
2025-12-11 12:10:00.000000 UTC,23.826958831341329,87.9768924302789,English,The Story of Jesus for Children,app
2025-12-12 04:15:00.000000 UTC,23.826958831341329,87.9768924302789,English,JESUS,app
2025-12-11 14:53:00.000000 UTC,24.730808080808064,93.880303030303068,English,Who is the Messiah?,app
2025-12-11 11:33:00.000000 UTC,16.699333333333318,98.785333333333369,English,2. The Blood of Jesus,app
2025-12-11 11:31:00.000000 UTC,16.699333333333318,98.785333333333369,English,2. The Blood of Jesus,app
2025-12-11 10:36:00.000000 UTC,16.407865168539335,102.58651685393255,English,"5. Savior, Lord, and Friend",app
2025-12-11 10:29:00.000000 UTC,16.407865168539335,102.58651685393255,English,1. The Simple Gospel,app
2025-12-11 10:48:00.000000 UTC,16.407865168539335,102.58651685393255,English,2.1 Was Jesus the Real Deal?,app
2025-12-11 11:10:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Legion,app
2025-12-11 11:06:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Day 1: Response of Grace,app
2025-12-11 11:23:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Day 6: Boldness in Prayer,app
2025-12-11 11:03:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Day 1: Beginnings,app
2025-12-11 11:06:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Day 1: Beginnings,app
2025-12-11 11:10:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Day 6: Evidence of Grace,app
2025-12-11 11:06:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Day 1: Response of Grace,app
2025-12-11 11:07:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Day 1: Response of Grace,app
2025-12-11 11:08:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Episode 11: I AM the True Vine,app
2025-12-11 11:05:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Altro Mare,app
2025-12-11 11:12:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Episode 11: I AM the True Vine,app
2025-12-11 10:58:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Chosen Witness,app
2025-12-11 11:22:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Day 6: Boldness in Prayer,app
2025-12-11 11:23:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Day 6: Boldness in Prayer,app
2025-12-11 11:10:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Legion,app
2025-12-11 11:24:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Day 6: True Humility,app
2025-12-11 11:05:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Day 1: Beginnings,app
2025-12-11 11:09:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Day 6: Evidence of Grace,app
2025-12-11 11:09:00.000000 UTC,-4.9055555555555568,105.02037037037046,English,Episode 11: I AM the True Vine,app
2025-12-11 06:44:00.000000 UTC,5.3534539473684175,117.12072368421066,English,Walking In The Spirit,app
2025-12-11 06:23:00.000000 UTC,5.3534539473684175,117.12072368421066,English,Fellowship Of Believers,app
2025-12-11 06:34:00.000000 UTC,5.3534539473684175,117.12072368421066,English,The Holy Spirit,app
2025-12-11 06:51:00.000000 UTC,5.3534539473684175,117.12072368421066,English,Walking In The Spirit,app
2025-12-11 06:07:00.000000 UTC,5.3534539473684175,117.12072368421066,English,Assurance Of Salvation,app
2025-12-11 06:08:00.000000 UTC,5.3534539473684175,117.12072368421066,English,Assurance Of Salvation,app
2025-12-11 11:31:00.000000 UTC,-32.144674749054985,147.00836918263528,"Farsi, Western",The Story of Jesus for Children,app
2025-12-11 11:45:00.000000 UTC,-32.144674749054985,147.00836918263528,"Farsi, Western","6. Jesus, Our Complete Restorer",app
2025-12-11 11:31:00.000000 UTC,-32.144674749054985,147.00836918263528,"Farsi, Western",JESUS,app
2025-12-11 11:48:00.000000 UTC,-32.144674749054985,147.00836918263528,"Farsi, Western",7. Jesus Our Living Water,app
2025-12-11 11:58:00.000000 UTC,-32.144674749054985,147.00836918263528,"Farsi, Western","6. Jesus, Our Complete Restorer",app
2025-12-11 11:54:00.000000 UTC,-32.144674749054985,147.00836918263528,"Farsi, Western","4. Jesus, Our Powerful Deliverer",app
2025-12-11 11:43:00.000000 UTC,-32.144674749054985,147.00836918263528,"Farsi, Western","5. Jesus, Our Compassionate Provider",app
2025-12-11 11:41:00.000000 UTC,-32.144674749054985,147.00836918263528,"Farsi, Western","3. Jesus, Our Power for Living",app
2025-12-12 01:29:00.000000 UTC,42.99414504324686,-75.675515635395968,Fiji-Hindi,Sinful Woman Forgiven,app
2025-12-12 01:29:00.000000 UTC,42.99414504324686,-75.675515635395968,Fiji-Hindi,The Beginning,app
2025-12-11 13:50:00.000000 UTC,22.685294117647047,71.591605392156865,Fiji-Hindi,StoryClubs: Childhood of Jesus,app
2025-12-11 13:50:00.000000 UTC,22.685294117647047,71.591605392156865,Fiji-Hindi,StoryClubs: Childhood of Jesus,app
2025-12-11 11:56:00.000000 UTC,6.5107142857142852,3.5178571428571428,French,The Story of Jesus for Children,app
2025-12-11 10:12:00.000000 UTC,6.5107142857142852,3.5178571428571428,French,The Story of Jesus for Children,app
2025-12-11 11:58:00.000000 UTC,6.5107142857142852,3.5178571428571428,French,Great Commission and Ascension,app
2025-12-11 13:03:00.000000 UTC,6.5107142857142852,3.5178571428571428,French,The Story of Jesus for Children,app
2025-12-11 10:19:00.000000 UTC,6.5107142857142852,3.5178571428571428,French,The Story of Jesus for Children,app
2025-12-11 11:24:00.000000 UTC,0.29166666666666663,10.034615384615387,French,Chosen Witness,app
2025-12-11 16:07:00.000000 UTC,24.941666666666666,55.411111111111104,French,Breathe,app
2025-12-11 15:17:00.000000 UTC,-20.925,55.475,French,JESUS,app
2025-12-11 18:57:00.000000 UTC,6.5107142857142852,3.5178571428571428,Gbagyi,Great Commission and Ascension,app
2025-12-11 07:11:00.000000 UTC,6.5107142857142852,3.5178571428571428,Gbagyi,JESUS,app
2025-12-11 16:52:00.000000 UTC,6.5107142857142852,3.5178571428571428,Gbagyi,JESUS,app
